法人別連結貸借対照表(単位:百万円),資産合計,負債合計,資産・負債差額
内閣府:預金保険機構,6620222,4936728,1683494
総務省:独立行政法人郵便貯金・簡易生命保険管理機構,28892475,28804387,88088
総務省:日本郵政株式会社,290853512,275668670,15184842
外務省:独立行政法人国際協力機構,11830318,2347837,9482480
財務省:株式会社日本政策投資銀行,15907180,13022979,2884200
財務省:株式会社日本政策金融公庫（国民一般向け業務勘定）,6931399,6193016,738383
財務省:株式会社日本政策金融公庫（信用保険等業務勘定）,3116207,1356168,1760039
財務省:株式会社日本政策金融公庫（危機対応円滑化業務勘定）,3874065,3103884,770180
財務省:株式会社国際協力銀行,17580622,15108255,2472367
文部科学省:独立行政法人日本学生支援機構,8997966,9050529,-52562
文部科学省:国立研究開発法人日本原子力研究開発機構,948122,283487,664635
文部科学省:国立大学法人東京大学,1396107,152787,1243320
文部科学省:日本私立学校振興・共済事業団,5796439,5217901,578537
厚生労働省:独立行政法人福祉医療機構,4523868,3488515,1035352
厚生労働省:独立行政法人勤労者退職金共済機構,6080403,5635967,444436
厚生労働省:年金積立金管理運用独立行政法人,134745553,106589222,28156331
厚生労働省:独立行政法人国立病院機構,1311390,915567,395823
厚生労働省:全国健康保険協会,2632062,680714,1951348
農林水産省:株式会社日本政策金融公庫（農林水産業者向け業務勘定）,2670507,2278611,391895
農林水産省:国立研究開発法人森林総合研究所,1143695,212027,931668
経済産業省:株式会社日本政策金融公庫（中小企業者向け融資・証券化支援保証業務勘定）,5615576,4513824,1101752
経済産業省:独立行政法人日本貿易保険,552323,47719,504603
経済産業省:独立行政法人石油天然ガス・金属鉱物資源機構,1612619,1008711,603907
経済産業省:独立行政法人中小企業基盤整備機構,12726674,11416051,1310622
経済産業省:原子力損害賠償・廃炉等支援機構,2809464,2531538,277925
国土交通省:独立行政法人鉄道建設・運輸施設整備支援機構,9886921,3799091,6087830
国土交通省:独立行政法人水資源機構,3797264,472417,3324847
国土交通省:独立行政法人都市再生機構,13786169,12515842,1270327
国土交通省:独立行政法人住宅金融支援機構,27391973,25369968,2022005
国土交通省:独立行政法人日本高速道路保有・債務返済機構,40877023,28972419,11904603
国土交通省:東日本高速道路株式会社,1223807,1028770,195037
国土交通省:中日本高速道路株式会社,1156313,939948,216364
国土交通省:西日本高速道路株式会社,1174324,996356,177968
国土交通省:新関西国際空港株式会社,2166586,1326075,840511
その他の連結対象法人,21760345,8293283,13467062
連結対象法人合計,702389512,588279279,114110233
国（一般会計・特別会計）,672359907,1193163673,-520803766
相殺消去等,-415816085,-357583311,-58232773
連結合計,958933334,1423859641,-464926306
