連結業務費用(単位:百万円),平成26年4月1日から平成27年3月31日,平成27年4月1日から平成28年3月31日
人件費,9346969,9514886
賞与引当金繰入額,571427,588281
退職給付引当金繰入額,480307,851888
基礎年金給付費,20110519,21094160
国民年金給付費,810087,716367
厚生年金給付費,23133756,23318359
国家公務員共済組合連合会等交付金,0,2233304
失業等給付費,1448412,1496034
その他の社会保障費,1049482,1041837
保険金等支払金,9383219,8810922
（再）保険費等,29878,54750
公共用施設整備費等,34325,48256
補助金等,28645028,29113381
委託費等,2323705,2383525
地方交付税交付金等,20487482,20188754
資金援助交付費,1044300,1212700
庁費等,3166765,3372748
公債事務取扱費,25127,35764
その他の経費,22467614,21583747
減価償却費,7740350,7805821
責任準備金繰入額,853468,544319
貸倒引当金繰入額,666494,830155
その他の引当金繰入額,10913,26235
支払利息,8113585,8211235
為替換算差損益,-2409,3804
公債償還損益,47652,20118
資産処分損益,256135,491670
出資金等評価損,4464,216377
減損損失,75823,109291
本年度業務費用合計,162324888,165918701
