"Date","Long-CANADIAN DOLLAR","Short-CANADIAN DOLLAR","Net-CANADIAN DOLLAR","Names","Unit"
2014-01-07,30535,91077,-60542,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-01-14,34212,101557,-67345,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-01-21,29423,99750,-70327,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-01-28,25976,88765,-62789,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-02-04,29439,89739,-60300,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-02-11,27745,86673,-58928,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-02-18,27756,92756,-65000,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-02-25,24865,83456,-58591,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-03-04,23306,84402,-61096,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-03-11,25180,77371,-52191,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-03-18,27751,97556,-69805,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-03-25,40441,73656,-33215,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-04-01,27549,64543,-36994,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-04-08,28704,63011,-34307,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-04-15,28288,63714,-35426,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-04-22,27529,62984,-35455,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-04-29,30093,60388,-30295,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-05-06,28044,59644,-31600,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
2014-05-13,26986,53023,-26037,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF CAD 100,000) "
