"Date","名目原系列(前年同期比):国内総生産(支出側)","名目原系列(前年同期比):民間最終消費支出","名目原系列(前年同期比):民間最終消費支出:家計最終消費支出","名目原系列(前年同期比):民間最終消費支出:家計最終消費支出:除く持ち家の帰属家賃","名目原系列(前年同期比):民間住宅","名目原系列(前年同期比):民間企業設備","名目原系列(前年同期比):民間在庫変動","名目原系列(前年同期比):政府最終消費支出","名目原系列(前年同期比):公的固定資本形成","名目原系列(前年同期比):公的在庫変動","名目原系列(前年同期比):財貨・サービス:純輸出","名目原系列(前年同期比):財貨・サービス:輸出","名目原系列(前年同期比):財貨・サービス:輸入"
1995-03-01,0.7,1.9,1.9,1.4,4.9,2.2,,5.6,-7.7,,,0,9.8
1995-06-01,2.5,2.5,2.4,2,-3.6,6.4,,4.1,-6.1,,,-2.9,3.3
1995-09-01,2.3,1.6,1.6,1.2,-13.5,9.1,,4.3,5.1,,,3.8,11.2
1995-12-01,3.1,2.5,2.5,2.2,-7.4,8.7,,4,7.1,,,6.1,18.8
1996-03-01,3.4,2.6,2.5,2.2,0.5,4.9,,2.8,17.9,,,7.9,20.4
1996-06-01,3,2.4,2.3,2,9.8,3.6,,3.5,10.8,,,11.6,30
1996-09-01,1.8,1.6,1.6,1.1,17.9,4,,3.3,-0.8,,,6.2,18.4
1996-12-01,2.2,2,2.1,1.7,18.5,2.5,,3,-3.3,,,8.2,14.4
1997-03-01,2.3,4,4,3.9,9.6,5.3,,3.7,-9,,,12.2,16.5
1997-06-01,1.5,1.1,1.1,0.5,-5.2,2.3,,3.2,-6.6,,,16.9,7.3
1997-09-01,1.8,1.9,1.9,1.5,-16.7,2.1,,1.5,-1.9,,,11.8,3.7
1997-12-01,0.8,0.5,0.6,0,-24.1,4.3,,2,-5.7,,,11.5,-0.2
1998-03-01,-0.8,-2,-2,-3,-21.7,1.7,,1.2,-9.2,,,2.7,-8.4
1998-06-01,-1,0,-0.3,-0.9,-15.8,-1.1,,0.4,-12.4,,,0.2,-8.4
1998-09-01,-1.9,-0.6,-0.9,-1.5,-11.5,-1.5,,1.1,-8.8,,,3.9,-5.1
1998-12-01,-1.1,0.2,-0.1,-0.5,-10.3,-8.1,,1.8,5.5,,,-11.5,-15.4
1999-03-01,-1.4,0.6,0.4,0.1,-10.2,-8.3,,2.2,13.5,,,-10.8,-14.2
1999-06-01,-0.9,1,0.9,0.7,-0.7,-8.5,,2.8,11.2,,,-8.4,-6.1
1999-09-01,-1.1,0.7,0.5,0.4,3.9,-7.3,,2.7,3.4,,,-8.4,-5.5
1999-12-01,-2.7,-0.4,-0.5,-0.9,2.7,-2.8,,0.1,-7,,,0.4,6.8
2000-03-01,1.9,1.6,1.4,1.3,4.4,5.3,,2.5,-9.4,,,8.4,10.6
2000-06-01,1.1,0.2,0.5,0.2,-1.2,1.3,,2.7,-9.4,,,7.6,8.2
2000-09-01,1.2,0,0.1,-0.2,-4.5,6.1,,5,-8.4,,,8.1,9.6
2000-12-01,1.2,0.8,1.1,0.9,2.5,7.3,,3.5,-11.9,,,8.7,15.3
2001-03-01,1.5,1,1.2,1.1,0.8,3.3,,3.6,-1,,,3.3,13.2
2001-06-01,0,1.8,1.8,1.8,-7.3,1,,3.2,-7.6,,,-2.6,9.6
2001-09-01,-1.5,0.8,0.8,0.5,-6.8,-3.4,,3.3,-6.6,,,-7.8,0.9
2001-12-01,-2.7,-0.4,-0.5,-0.9,-8.2,-11.4,,3.1,-6.4,,,-9.8,-8.6
2002-03-01,-3.2,-0.8,-0.9,-1.5,-8.9,-11.4,,4.1,-7.3,,,-2.2,-7.4
2002-06-01,-1.7,-0.4,-0.3,-0.6,-3.1,-10.2,,1.6,-6,,,6.2,-4.1
2002-09-01,-0.5,0.2,0.3,0.2,-1.7,-7.6,,1.9,-6.1,,,6.5,0.4
2002-12-01,-0.1,0,0.2,0,-3.3,-2.1,,0.6,-5,,,15.1,10.5
2003-03-01,-1,-0.2,-0.1,-0.3,-3.3,-2.4,,-2.4,-6.9,,,6.9,8.3
2003-06-01,0.3,-0.6,-0.8,-1.2,-3.3,1.8,,2.2,-5.6,,,2.8,1.2
2003-09-01,0.1,-1.1,-1.2,-1.7,0.5,-1.9,,1,-8,,,8.1,3.4
2003-12-01,0.1,0.3,0.2,-0.1,0.2,2.3,,0.1,-8.6,,,4.4,-1.5
2004-03-01,2.2,1.1,1,0.8,1.9,2.5,,0.3,-7.7,,,10.3,2.1
2004-06-01,0.7,0.9,1,0.8,3,1.4,,-0.7,-10.2,,,13.9,12
2004-09-01,1.1,1.3,1.4,1.3,0.8,3.7,,0.3,-9.7,,,13.4,14.3
2004-12-01,0.3,-0.3,-0.3,-0.8,3,1.3,,2.3,-7.6,,,13,17
2005-03-01,0,-0.2,-0.2,-0.6,0.9,5.5,,0.7,-4,,,5,11.2
2005-06-01,0.6,0.6,0.6,0.4,-2.4,9.9,,0.9,-11.3,,,5.8,12.8
2005-09-01,0.8,0.9,0.9,0.7,-0.6,9.9,,0.6,-8,,,8.5,16.2
2005-12-01,1,1.8,1.7,1.6,1.7,6.5,,0.5,-7.8,,,14.8,18.7
2006-03-01,1.3,2.2,2.1,2.2,2.2,3.6,,0,-1.4,,,18.7,23.7
2006-06-01,0.3,1.3,1.3,1.1,2.9,1.9,,-0.3,-0.9,,,14.1,18.8
2006-09-01,-0.4,-0.1,-0.2,-0.5,2,-0.3,,-0.4,-7.9,,,14.2,15
2006-12-01,0.9,0.7,0.7,0.5,2,3.8,,-0.8,-4.2,,,9.3,9.2
2007-03-01,1.8,0.4,0.4,0.2,1.9,4.8,,-0.4,-7.1,,,10.8,7.3
2007-06-01,1.1,0.6,0.7,0.5,0.3,0.9,,0.9,-6.4,,,13.4,10.6
2007-09-01,0.9,0.7,0.7,0.5,-9.6,-0.8,,0.8,-2.2,,,10.9,6.5
2007-12-01,-0.2,0.4,0.5,0.3,-21.8,-2.1,,2,-1.1,,,9.9,11
2008-03-01,-0.5,1.2,1.2,1.1,-18.2,-0.7,,2.1,-2.4,,,6.1,10.4
2008-06-01,-1.6,-0.7,-0.7,-1.2,-12.2,-1.6,,-0.4,-2.5,,,2.3,8.8
2008-09-01,-2.5,0.3,0.3,0,0.8,-1.3,,0.2,-0.1,,,4.2,17.5
2008-12-01,-3.5,-2.1,-2.1,-2.8,15.4,-6.3,,-0.9,-4.5,,,-21,-9.3
2009-03-01,-8.6,-4.8,-4.9,-6.1,0.9,-13.7,,-1.2,-1.6,,,-43.7,-35
2009-06-01,-6.3,-2.9,-3,-3.8,-16.5,-16.5,,-0.1,7.7,,,-37.8,-38.3
2009-09-01,-5.4,-2.9,-3,-3.7,-26.5,-18.8,,2.5,4.7,,,-34.3,-38.3
2009-12-01,-3.7,-1.1,-1.1,-1.3,-28.2,-15,,1,6.5,,,-9.8,-21.5
2010-03-01,2.2,1.3,1.2,1.4,-18.3,-7.9,,2,4.7,,,36.7,14.9
2010-06-01,1.6,0.8,0.7,0.7,-7.1,-2.6,,2,-5.4,,,31,24.7
2010-09-01,3.9,1.7,1.6,1.9,1.2,1.6,,1.8,-3.1,,,17.6,13.5
2010-12-01,1.3,0,-0.1,-0.1,8.7,2.3,,0.2,-8.1,,,10,11.4
2011-03-01,-0.9,-2.1,-2.3,-2.8,7,3.1,,2.8,-10.6,,,3.7,12.8
2011-06-01,-2.7,-1.3,-1.5,-1.9,3.5,-0.7,,1.3,-2.1,,,-7.8,9.3
2011-09-01,-2.1,-1,-1.2,-1.4,7.6,0.6,,1.6,-3.9,,,-0.6,13.4
2011-12-01,-1.4,0.6,0.4,0.5,2.6,7.5,,1.3,-6.3,,,-5.1,12.1
2012-03-01,2,3.1,3,3.6,-1.4,5.3,,2.3,4.3,,,-1.3,9.4
2012-06-01,2,2.3,2.2,2.6,3.2,7.7,,0.3,-0.2,,,5.6,7.3
2012-09-01,-0.6,0.1,0,-0.1,-0.2,3.5,,0.9,-0.5,,,-7.1,1.3
2012-12-01,-0.4,0.1,0,-0.1,4.9,-1.3,,0.8,4.2,,,-4.1,1.5
2013-03-01,-0.2,1.3,1.1,1.3,10,-0.7,,0.5,-0.3,,,2.9,8.2
2013-06-01,1.5,1.7,1.7,2,8,3.1,,2,3.1,,,9.4,10.5
2013-09-01,2.7,2.9,2.9,3.5,10.6,6.3,,1.7,13.3,,,15.1,17.9
2013-12-01,2.6,3,3,3.6,13,8.5,,0.7,15.6,,,18.2,24.3
2014-03-01,3.4,4.6,4.6,5.5,13.9,12.2,,1.6,7.7,,,14.2,22.7
2014-06-01,2,-0.1,0.1,0,3.9,5.2,,1.8,3.9,,,7.6,9.2
2014-09-01,0.9,-0.1,0,0,-7.3,4.2,,2.2,1.7,,,10.3,9.5
2014-12-01,2,0.3,0.4,0.5,-11.5,3.4,,2.6,0.5,,,18.1,7.8
2015-03-01,3.1,-2.2,-2.1,-2.6,-10.3,2.5,,2.9,-1.6,,,10.1,-6.6
2015-06-01,3.3,1.1,0.9,1.1,-3,2.5,,1.2,3.7,,,5.6,-3.5
2015-09-01,3.8,1.2,1,1.2,6.4,1.8,,1,0.6,,,5,-5.6
2015-12-01,2.5,0,-0.3,-0.3,4.9,1.3,,1.8,-3.9,,,-4.5,-11.3
2016-03-01,1.4,-0.3,-0.5,-0.6,2.3,-0.9,,2.8,-4,,,-7.9,-15.1
2016-06-01,1.3,-0.2,-0.2,-0.3,4.2,0.9,,0.5,-3.6,,,-9.2,-16.6
2016-09-01,0.9,-0.4,-0.4,-0.5,5.4,-0.5,,0.4,-3,,,-10.7,-18.4
2016-12-01,1.6,0.7,0.7,0.8,6.9,2.5,,0,-4.4,,,-1.3,-9.4
2017-03-01,0.5,0.9,0.9,1.1,7.3,3.6,,-1.1,-2.9,,,7.5,8.4
