平成28年調査国民生活基礎調査,,,,,,,,,
貧困率－中央値－貧困線，年次・全世帯－子ども－子どもがいる現役世帯別,,,,,,,,,
1)平成６年の数値は、兵庫県を除いたものである。,,,,,,,,,
2)平成27年の数値は、熊本県を除いたものである。,,,,,,,,,
3)貧困率は、ＯＥＣＤの作成基準に基づいて算出している。,,,,,,,,,
4)等価可処分所得金額不詳は含まない。,,,,,,,,,
Date,相対的貧困率(単位:%):相対的貧困率,相対的貧困率(単位:%):子どもの貧困率,相対的貧困率(単位:%):子どもがいる現役世帯,相対的貧困率(単位:%):子どもがいる現役世帯:大人が一人,相対的貧困率(単位:%):子どもがいる現役世帯:大人が二人以上,名目値(単位:万円):名目値 中央値,名目値(単位:万円):貧困線,実質値(単位:万円):実質値 中央値,実質値(単位:万円):貧困線
1985/1/1,12,10.9,10.3,54.5,9.6,216,108,216,108
1988/1/1,13.2,12.9,11.9,51.4,11.1,227,114,226,113
1991/1/1,13.5,12.8,11.7,50.1,10.8,270,135,246,123
1994/1/1,13.8,12.2,11.3,53.5,10.2,289,144,255,127
1997/1/1,14.6,13.4,12.2,63.1,10.8,297,149,259,130
2000/1/1,15.3,14.4,13,58.2,11.5,274,137,240,120
2003/1/1,14.9,13.7,12.5,58.7,10.5,260,130,233,116
2006/1/1,15.7,14.2,12.2,54.3,10.2,254,127,228,114
2009/1/1,16,15.7,14.6,50.8,12.7,250,125,224,112
2012/1/1,16.1,16.3,15.1,54.6,12.4,244,122,221,111
2015/1/1,15.6,13.9,12.9,50.8,10.7,244,122,211,106
