データコード,PF02'PFGD1,PF02'PFGD11,PF02'PFGD12,PF02'PFGD@01,PF02'PFGD18,PF02'PFGD19,PF02'PFGD210,PF02'PFGD211,PF02'PFGD@02,PF02'PFGD@03,PF02'PFGD220,PF02'PFGD221,PF02'PFGD@04,PF02'PFGD230,PF02'PFGD231,PF02'PFGD@05
系列名称,政府債務合計,＿種類別内訳/国債/内国債,＿種類別内訳/国債/外国債,＿種類別内訳/国庫短期証券,＿種類別内訳/借入金,＿種類別内訳/一時借入金,＿所有者・借入先別内訳/政府,＿所有者・借入先別内訳/政府/内国債,＿所有者・借入先別内訳/政府/国庫短期証券,＿所有者・借入先別内訳/政府/借入金,＿所有者・借入先別内訳/日本銀行,＿所有者・借入先別内訳/日本銀行/内国債,＿所有者・借入先別内訳/日本銀行/国庫短期証券,＿所有者・借入先別内訳/その他,＿所有者・借入先別内訳/その他/うち内国債,＿所有者・借入先別内訳/その他/うち国庫短期証券
系列名称（英字）,National Government Debt/Total,_By Type/Japanese Government Securities/Internal Japanese Government Securities Issued in Japan,_By Type/Japanese Government Securities/External Japanese Government Securities Issued in Foreign Countries,_By Type/Treasury Discount Bills,_By Type/Borrowings,_By Type/Temporary Borrowings,_By Holder and Lender/Government,_By Holder and Lender/Government/Internal Japanese Government Securities Issued in Japan,_By Holder and Lender/Government/Treasury Discount Bills,_By Holder and Lender/Government/Borrowings,_By Holder and Lender/Bank of Japan,_By Holder and Lender/Bank of Japan/Internal Japanese Government Securities Issued in Japan,_By Holder and Lender/Bank of Japan/Treasury Discount Bills,_By Holder and Lender/Others,_By Holder and Lender/Others/Internal Japanese Government Securities Issued in Japan,_By Holder and Lender/Others/Treasury Discount Bills
単位,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円,億円
単位（英字）,100 million yen,100 million yen,100 million yen,100 million yen,100 million yen,100 million yen,100 million yen,100 million yen,100 million yen,100 million yen,100 million yen,100 million yen,100 million yen,100 million yen,100 million yen,100 million yen
統計種別・カテゴリ,財政・政府債務,財政・政府債務,財政・政府債務,財政・政府債務,財政・政府債務,財政・政府債務,財政・政府債務,財政・政府債務,財政・政府債務,財政・政府債務,財政・政府債務,財政・政府債務,財政・政府債務,財政・政府債務,財政・政府債務,財政・政府債務
統計種別・カテゴリ(英字),Public Finance/National Government Debt,Public Finance/National Government Debt,Public Finance/National Government Debt,Public Finance/National Government Debt,Public Finance/National Government Debt,Public Finance/National Government Debt,Public Finance/National Government Debt,Public Finance/National Government Debt,Public Finance/National Government Debt,Public Finance/National Government Debt,Public Finance/National Government Debt,Public Finance/National Government Debt,Public Finance/National Government Debt,Public Finance/National Government Debt,Public Finance/National Government Debt,Public Finance/National Government Debt
変換方法,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END
収録開始期,1982/04,1982/04,1982/04,1982/04,1982/04,1982/04,1982/04,1982/04,1982/04,1982/04,1982/04,1982/04,1982/04,1982/04,1982/04,1982/04
収録終了期,2017/06,2017/06,2017/06,2017/06,2017/06,2017/06,2017/06,2017/06,2017/06,2017/06,2017/06,2017/06,2017/06,2017/06,2017/06,2017/06
期種,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次,月次
備考,,,,,,,,,,,,,,,,
備考（英字）,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1970/01,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1970/02,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1970/03,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1970/04,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1970/05,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1970/06,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1970/07,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1970/08,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1970/09,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1970/10,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1970/11,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1970/12,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1971/01,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1971/02,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1971/03,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1971/04,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
