データコード,PF02'PFGD1,PF02'PFGD11,PF02'PFGD12,PF02'PFGD@01,PF02'PFGD18,PF02'PFGD19,PF02'PFGD210,PF02'PFGD211,PF02'PFGD@02,PF02'PFGD@03,PF02'PFGD220,PF02'PFGD221,PF02'PFGD@04,PF02'PFGD230,PF02'PFGD231,PF02'PFGD@05
1971/05,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1971/06,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1971/07,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1971/08,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1971/09,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1971/10,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1971/11,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1971/12,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1972/01,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1972/02,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1972/03,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1972/04,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1972/05,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1972/06,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1972/07,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1972/08,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1972/09,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1972/10,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1972/11,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1972/12,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1973/01,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1973/02,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1973/03,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1973/04,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1973/05,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1973/06,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1973/07,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1973/08,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1973/09,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1973/10,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1973/11,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1973/12,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1974/01,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1974/02,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1974/03,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1974/04,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1974/05,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1974/06,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1974/07,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1974/08,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1974/09,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1974/10,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1974/11,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1974/12,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1975/01,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1975/02,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1975/03,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1975/04,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1975/05,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1975/06,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1975/07,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1975/08,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1975/09,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1975/10,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1975/11,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1975/12,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1976/01,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1976/02,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1976/03,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1976/04,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1976/05,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1976/06,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1976/07,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1976/08,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1976/09,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1976/10,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1976/11,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1976/12,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1977/01,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1977/02,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1977/03,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1977/04,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1977/05,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1977/06,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1977/07,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1977/08,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1977/09,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1977/10,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1977/11,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1977/12,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1978/01,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1978/02,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1978/03,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1978/04,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1978/05,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1978/06,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1978/07,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1978/08,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1978/09,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1978/10,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1978/11,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1978/12,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1979/01,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1979/02,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1979/03,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1979/04,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1979/05,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1979/06,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1979/07,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1979/08,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1979/09,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1979/10,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1979/11,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1979/12,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1980/01,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1980/02,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1980/03,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1980/04,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1980/05,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1980/06,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1980/07,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1980/08,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1980/09,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1980/10,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1980/11,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1980/12,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1981/01,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1981/02,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1981/03,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1981/04,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1981/05,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1981/06,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1981/07,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1981/08,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1981/09,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1981/10,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1981/11,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1981/12,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1982/01,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1982/02,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1982/03,        ,       ,   ,       ,       ,      ,       ,       ,      ,       ,       ,       ,      ,       ,       ,
1982/04,1148528,857244,119,175196,23520,92450,335343,196358,23430,115555,205674,82245,123429,607511,578641,28336
1982/05,1158290,876616,119,180605,23525,77426,321903,198557,22810,100536,209004,82130,126874,627383,595929,30921
1982/06,1163245,885192,119,176162,23625,78147,332092,201992,28742,101358,205100,81802,123298,626054,601398,24123
1982/07,1141923,887257,125,153533,23745,77264,322935,203877,18464,100594,212514,81176,131338,606474,602204,3730
1982/08,1145115,894123,125,147585,23948,79335,322259,208953,10437,102868,199923,76422,123501,622934,608748,13646
1982/09,1161671,910493,125,141198,23634,86221,345072,218548,17083,109441,192128,70637,121491,624470,621308,2623
1982/10,1170021,918995,125,142113,23798,84990,350059,216774,24911,108374,182258,70096,112161,637704,632125,5041
1982/11,1195084,932090,125,147138,23955,91776,348911,203624,29970,115317,184675,79104,105571,661498,649362,11597
1982/12,1221066,935107,125,151540,24471,109823,356746,196857,26009,133880,199675,79376,120299,664645,658874,5232
1983/01,1204671,961200,126,109572,24791,108982,363951,206206,24387,133359,153111,75144,77967,687609,679850,7219
1983/02,1204822,961407,126,110463,25009,107817,353555,207298,13845,132412,163505,74395,89110,687762,679714,7508
1983/03,1234846,978513,113,118313,137092,816,358742,202017,19232,137493,177106,85427,91679,698999,691069,7403
1983/04,1277629,999366,113,141189,26259,110702,371646,212287,22812,136547,196240,86464,109776,709742,700614,8601
1983/05,1279354,1012076,113,149080,26259,91825,344589,217150,9769,117670,200057,79336,120721,734707,715590,18591
1983/06,1309360,1034156,113,155758,26359,92973,371023,227074,25032,118918,198035,79678,118358,740301,727405,12369
1983/07,1312847,1040213,103,154176,26490,91865,383046,232017,33087,117941,191998,76280,115718,737803,731915,5371
1983/08,1313362,1048525,103,145591,26710,92434,377430,239943,18757,118729,198368,77301,121067,737565,731281,5767
1983/09,1335493,1067664,103,132871,26175,108682,408607,249946,24218,134442,183152,77562,105590,743735,740155,3063
1983/10,1352143,1079007,33,138756,26340,108008,411116,247311,29872,133933,172539,73773,98766,768488,757923,10118
1983/11,1379542,1088231,33,134797,26466,130015,414992,237198,21726,156067,177464,84462,93002,787086,766570,20069
1983/12,1401761,1100061,33,141509,26912,133246,434408,246442,28221,159744,182487,76304,106183,784867,777315,7104
1984/01,1383860,1110690,33,113472,27267,132398,442134,248565,34318,159251,147707,76875,70833,794018,785250,8321
1984/02,1385893,1109712,39,115731,27534,132877,429301,248147,21158,159996,168523,81615,86908,788069,779950,7666
1984/03,1395848,1115020,38,118477,161305,1007,426518,238957,25663,161898,170793,86730,84063,798537,789334,8751
1984/04,1458904,1133667,32,163385,144534,17285,438529,245974,31150,161405,200202,87311,112891,820173,800383,19344
1984/05,1449478,1151856,32,156245,29167,112178,417292,254451,21910,140931,197151,87554,109596,835036,809851,24739
1984/06,1453267,1159437,32,148285,29315,116198,430881,259212,26570,145099,201669,84315,117354,820717,815910,4361
1984/07,1453129,1157403,32,150864,37129,107702,438831,273115,21300,144416,192112,78184,113929,822186,806104,15635
1984/08,1465648,1173094,32,145925,37389,109207,443996,278754,19061,146182,185195,78509,106687,836456,815832,20178
1984/09,1479452,1191689,32,136075,95754,55902,465475,294940,19293,151242,183357,72613,110744,830621,824136,6038
1984/10,1499229,1207483,32,142207,87994,61513,472528,304326,19110,149093,175385,72878,102508,851315,830280,20589
1984/11,1517762,1213387,32,141326,88152,74866,465836,295027,8205,162604,194024,83354,110670,857903,835006,22450
1984/12,1532672,1223844,32,142744,88601,77451,476266,303579,7049,165637,204439,75290,129148,851967,844975,6546
1985/01,1514264,1232589,32,117905,88931,74808,484148,304121,16703,163324,163954,77090,86864,866163,851378,14338
1985/02,1512547,1232037,32,118963,89167,72348,471517,304640,5775,161101,179016,77738,101278,862015,849658,11910
1985/03,1548336,1237944,32,145172,165188,0,490469,318620,7075,164773,196605,69792,126812,861262,849532,11284
1985/04,1585846,1256963,28,163772,90394,74690,495715,319004,12041,164669,194277,76531,117745,895855,861427,33986
1985/05,1595481,1273485,28,170062,90444,61463,483874,320654,11727,151493,211054,90849,120205,900553,861982,38129
1985/06,1591230,1290532,8,140505,90578,69606,502101,329391,12939,159771,210718,88299,122419,878411,872842,5147
1985/07,1595908,1318633,8,125707,90799,60761,512677,348169,13362,151146,183540,92207,91333,899692,878257,21013
1985/08,1584093,1319355,8,119981,91059,53690,503625,352864,6427,144335,182884,90690,92195,897583,875801,21360
1985/09,1607950,1338466,8,108791,90890,69796,547581,377910,9399,160271,158761,69513,89247,901609,891043,10144
1985/10,1612317,1347003,8,105774,91060,68472,549603,380287,10198,159118,139913,67227,72686,922801,899489,22890
1985/11,1616903,1339169,8,129630,91249,56847,531627,377182,6762,147682,178707,74464,104243,906570,887523,18625
1985/12,1653835,1352012,8,136590,91696,73529,572558,391394,16354,164811,174438,60546,113892,906839,900073,6345
1986/01,1633415,1352521,8,118097,92040,70750,569897,396653,10869,162375,137618,49740,87878,925901,906129,19350
1986/02,1631586,1355769,8,114960,92284,68565,572179,409071,2674,160434,134104,45974,88130,925303,900725,24156
1986/03,1669961,1366106,8,136562,166987,298,584660,409022,8767,166871,157731,44423,113308,927571,912662,14487
1986/04,1724461,1375941,7,184305,93361,70846,592330,409958,18578,163794,168333,44731,123602,963798,921252,42125
1986/05,1706409,1364996,7,175430,93426,72549,572139,400294,6284,165561,178961,54910,124051,955308,909792,45095
1986/06,1711751,1371742,7,177750,93667,68585,579815,414549,3428,161838,193819,42436,151383,938117,914756,22939
1986/07,1733063,1393690,7,178640,93817,66909,601362,422697,18353,160311,176601,49677,126924,955101,921316,33363
1986/08,1739625,1415995,7,176650,93947,53027,604822,446542,11721,146559,177366,44125,133241,957437,925328,31688
1986/09,1758528,1430908,7,172420,93682,61512,640249,472778,12692,154779,152592,19432,133160,965687,938697,26568
1986/10,1773466,1441482,7,178380,93873,59724,646279,475997,17099,153183,155095,18342,136753,972093,947143,24528
1986/11,1771939,1436036,7,171560,93882,70454,637856,465023,8912,163922,162490,36788,125702,971593,934226,36946
1986/12,1774790,1442566,7,165660,94107,72451,645523,474661,4719,166143,171675,27118,144557,957592,940787,16384
1987/01,1779641,1467897,7,146150,94477,71110,678959,488737,25050,165172,119584,28911,90673,981098,950250,30427
1987/02,1789339,1468601,7,154900,94737,71094,679344,486770,27158,165417,133025,30828,102197,976969,951003,25545
1987/03,1873782,1473260,7,171510,229006,0,741476,484318,28567,228591,151625,36346,115279,980681,952596,27664
1987/04,1920213,1486018,5,207032,151284,75873,738268,480916,30609,226743,183568,43945,139623,998377,961158,36800
1987/05,1907265,1478410,5,201700,151284,75866,724213,477703,19774,226736,183153,50449,132704,999899,950258,49222
1987/06,1900728,1484944,5,186620,152240,76919,724392,483621,12026,228744,180409,43474,136935,995926,957848,37659
1987/07,1905972,1486306,5,198870,154053,66737,731645,499807,11462,220376,185528,31007,154521,988799,955493,32887
1987/08,1894231,1478579,5,193030,155553,67063,727722,495990,9530,222202,185305,44186,141120,981203,938404,42381
1987/09,1936871,1498258,5,206430,155792,76386,778420,523794,22863,231764,177334,25768,151567,981116,948696,32001
1987/10,1937632,1496245,5,224840,159017,57525,769605,535036,18442,216127,187446,19126,168321,980581,942084,38078
1987/11,1967293,1492490,5,233980,163817,77001,805645,528204,37038,240404,193140,28300,164840,968508,935986,32103
1987/12,1973884,1519124,5,205540,172472,76743,823811,519114,55895,248802,193892,55095,138797,956182,944914,10849
1988/01,1978709,1546901,5,181578,175098,75128,838311,524455,64045,249812,157924,65387,92537,982474,957059,24996
1988/02,1971592,1531132,5,188920,175567,75968,818508,521625,45762,251121,176922,68075,108847,976162,941431,34312
1988/03,2011854,1541134,5,215770,254945,0,840537,538962,47045,254531,195870,58170,137701,975446,944002,31025
1988/04,2043432,1553118,5,242430,173968,73911,849700,546355,55881,247465,199753,65326,134427,993978,941437,52122
1988/05,2046692,1544761,5,255930,176770,69227,818907,524109,49217,245582,233611,83821,149790,994174,936832,56924
1988/06,2034652,1557272,5,227710,180154,69512,830759,528789,52719,249251,239090,92772,146318,964803,935711,28673
1988/07,2040406,1567851,5,221690,182759,68100,844055,538485,55125,250445,228699,84280,144419,967652,945086,22147
1988/08,2023360,1560718,5,210520,185532,66586,826745,533230,41812,251703,222498,91842,130657,974116,935645,38052
1988/09,2045256,1568138,5,219530,187620,69963,864782,566602,41011,257169,206617,58303,148314,973858,943233,30206
1988/10,2066130,1569705,5,239270,188808,68342,893078,569935,66408,256735,212837,52173,160664,960215,947598,12198
1988/11,2056491,1559438,5,230620,190898,75530,859021,547721,45286,266014,218312,75068,143244,979158,936648,42091
1988/12,2050920,1568394,0,212120,194574,75832,867315,551989,45335,269992,224255,69952,154303,959350,946453,12483
1989/01,2038384,1569049,0,198310,197044,73981,869218,555381,43227,270611,202509,62549,139960,966658,951119,15124
1989/02,2043966,1574533,0,197060,198263,74109,867767,551239,44570,271959,213629,74791,138838,962570,948503,13653
1989/03,2102456,1590951,0,245155,266350,0,920114,605002,49176,265936,216547,32895,183652,965796,953055,12327
1989/04,2129218,1598041,0,265423,203016,62737,915277,605519,44419,265339,239783,34160,205623,974158,958363,15382
1989/05,2117336,1590459,0,256910,207616,62351,883739,572962,41225,269553,220325,62891,157434,1013272,954606,58252
