Date,男性割合,女性割合,男性自殺者数,女性自殺者数
1997/1/1,67.30%,32.70%,16416,7975
1998/1/1,70.00%,30.00%,23013,9850
1999/1/1,71.10%,28.90%,23512,9536
2000/1/1,71.10%,28.90%,22727,9230
2001/1/1,71.30%,28.70%,22144,8898
2002/1/1,71.80%,28.20%,23080,9063
2003/1/1,72.50%,27.50%,24963,9464
2004/1/1,72.00%,28.00%,23272,9053
2005/1/1,72.30%,27.70%,23540,9012
2006/1/1,70.90%,29.10%,22813,9342
2007/1/1,70.90%,29.10%,23478,9615
2008/1/1,70.80%,29.20%,22831,9418
2009/1/1,71.50%,28.50%,23472,9373
2010/1/1,70.30%,29.70%,22283,9407
2011/1/1,68.40%,31.60%,20955,9696
2012/1/1,69.20%,30.80%,19273,8585
2013/1/1,68.90%,31.10%,18787,8496
2014/1/1,68.40%,31.60%,17386,8041
2015/1/1,69.40%,30.60%,16681,7344
2016/1/1,69.10%,30.90%,15121,6776
