"Date","名目季節調整系列(前期比):国内総生産(支出側)","名目季節調整系列(前期比):民間最終消費支出","名目季節調整系列(前期比):民間最終消費支出:家計最終消費支出","名目季節調整系列(前期比):民間最終消費支出:家計最終消費支出:除く持ち家の帰属家賃","名目季節調整系列(前期比):民間住宅","名目季節調整系列(前期比):民間企業設備","名目季節調整系列(前期比):民間在庫変動","名目季節調整系列(前期比):政府最終消費支出","名目季節調整系列(前期比):公的固定資本形成","名目季節調整系列(前期比):公的在庫変動","名目季節調整系列(前期比):財貨・サービス:純輸出","名目季節調整系列(前期比):財貨・サービス:輸出","名目季節調整系列(前期比):財貨・サービス:輸入"
1994-06-01,-0.5,0.2,0.2,0,4.9,-1,,2.1,2.2,,,1.1,4.5
1994-09-01,1.2,1.3,1.4,1.4,8.9,-0.7,,1,-3.9,,,-1,2.7
1994-12-01,-0.4,-0.2,-0.2,-0.5,-4.7,1.4,,1.1,-1.8,,,0.1,0.1
1995-03-01,0.5,0.5,0.5,0.4,-3.7,2.4,,1.3,-4.4,,,-0.1,2.2
1995-06-01,1.1,0.8,0.8,0.8,-3.6,3.3,,0.6,3.9,,,-2.2,-1.7
1995-09-01,1.2,0.6,0.6,0.5,-2.4,1.5,,1.3,7.6,,,6.2,10.5
1995-12-01,0.2,0.6,0.6,0.5,2.3,1.2,,0.7,0.3,,,2.3,7.1
1996-03-01,0.7,0.4,0.4,0.3,4.4,-1.3,,0.2,5,,,1.9,3.6
1996-06-01,0.9,0.7,0.7,0.7,5.2,2.6,,1.3,-1.6,,,0.2,5.8
1996-09-01,-0.2,-0.1,-0.1,-0.3,4.8,1.2,,1.1,-4.3,,,1.4,0.8
1996-12-01,1,1.1,1.1,1.1,3.3,0.1,,0.5,-2,,,4.7,3.6
1997-03-01,0.5,2,2.1,2.2,-3.8,1,,0.7,-1.5,,,6,5.7
1997-06-01,0,-2,-2,-2.5,-9.4,0.5,,0.7,1.2,,,3.2,-3.2
1997-09-01,0.4,0.8,0.8,0.8,-7.7,0.3,,-0.4,0.3,,,-2.8,-2.3
1997-12-01,0.3,-0.1,-0.1,-0.3,-5.3,2.6,,0.9,-5.3,,,5.7,-0.1
1998-03-01,-1.4,-0.7,-0.8,-1.1,-1,-2,,-0.1,-6,,,-2.6,-2.9
1998-06-01,-0.6,-0.2,-0.3,-0.4,-2.8,-1.1,,-0.1,-1.6,,,-0.3,-3.6
1998-09-01,-0.1,0.5,0.4,0.4,-2.9,-1.1,,0.2,4.3,,,0.8,1.5
1998-12-01,1.2,0.7,0.7,0.7,-3.8,-3.9,,2.2,9.7,,,-8.7,-10.9
1999-03-01,-2.1,-0.5,-0.5,-0.7,-1.1,-3,,-0.1,-0.2,,,-2.8,-1.3
1999-06-01,0.1,0.3,0.2,0.2,7.3,0,,0.6,-2.3,,,2,4.8
1999-09-01,-0.2,0.3,0.2,0.2,1.7,-0.7,,-0.3,-3.2,,,0.9,2.4
1999-12-01,-0.2,-0.2,-0.2,-0.4,-4.9,1.2,,0.4,-0.6,,,1.2,0.8
2000-03-01,1.6,0.8,1,1,0.6,4,,1.7,-5.1,,,3.5,2.4
2000-06-01,-0.1,-0.7,-0.6,-0.8,1.6,-2.3,,1,-0.8,,,1.5,2.2
2000-09-01,-0.2,0,0.1,0,-1.9,2.8,,1.1,-1.9,,,1.9,4.2
2000-12-01,0.6,0.8,0.9,0.9,2,2.9,,0,-3.7,,,1.8,5.5
2001-03-01,0.8,0.7,0.7,0.7,-0.8,-0.6,,1.5,4.2,,,-2.5,0.9
2001-06-01,-1.3,0.1,0.1,-0.1,-6.4,-3.6,,0.6,-5.9,,,-3.9,-1.3
2001-09-01,-1.5,-0.7,-0.7,-1,-1.5,-2.1,,0.6,-0.8,,,-3,-3.9
