Date,自殺年齢調整死亡率　男,自殺年齢調整死亡率　女,自殺死亡率　男,自殺死亡率　女
1947/1/1,30.4,18.5,18.6,12.9
1948/1/1,30,18.6,18.7,13.3
1949/1/1,32.2,19,20.9,13.9
1950/1/1,35.1,20.7,24.1,15.3
1951/1/1,30.8,19.5,21.8,14.8
1952/1/1,29.8,19.5,21.8,15.1
1953/1/1,31.9,20.5,24.4,16.4
1954/1/1,36.4,21.4,29.1,17.8
1955/1/1,38.5,22.4,31.5,19
1956/1/1,36.8,22.8,29.8,19.4
1957/1/1,35.9,22.2,29.7,19.1
1958/1/1,36.7,23.5,30.7,20.8
1959/1/1,32.4,21.6,26.6,18.9
1960/1/1,30,20.6,25.1,18.2
1961/1/1,27.1,19.2,22.3,16.9
1962/1/1,25.1,17,20.4,14.8
1963/1/1,23.4,15.5,18.9,13.4
1964/1/1,21.8,15.1,17.5,12.9
1965/1/1,21.8,14.4,17.3,12.2
1966/1/1,21.5,15.1,17.4,13.1
1967/1/1,19.9,13.9,16.2,12.2
1968/1/1,19.9,14.3,16.5,12.5
1969/1/1,19.7,14.3,16.4,12.7
1970/1/1,20.6,14.7,17.3,13.3
1971/1/1,20.8,14.6,17.9,13.3
1972/1/1,22.8,15.8,19.7,14.4
1973/1/1,23.3,16.1,20.2,14.8
1974/1/1,22.8,16.3,20,15
1975/1/1,24.1,15.6,21.5,14.6
1976/1/1,23.6,15.1,21.2,14.1
1977/1/1,24.4,14.6,22,13.8
1978/1/1,24.2,14,22,13.4
1979/1/1,24.7,14,22.6,13.6
1980/1/1,24.3,13.4,22.3,13.1
1981/1/1,23.7,12.5,22,12.4
1982/1/1,24.2,12.4,22.7,12.5
1983/1/1,30.4,13.2,28.9,13.4
1984/1/1,28.9,12.9,27.6,13.3
1985/1/1,26.9,12.5,26,13.1
1986/1/1,28.4,14,27.8,14.9
1987/1/1,25.9,12.7,25.6,13.8
1988/1/1,23.8,12.3,23.8,13.7
1989/1/1,21.3,11.6,21.5,13.1
1990/1/1,20,10.8,20.4,12.4
1991/1/1,19.9,10.1,20.6,11.8
1992/1/1,21.1,9.9,22.3,11.7
1993/1/1,20.8,9.2,22.3,11.1
1994/1/1,21.3,9,23.1,10.9
1995/1/1,21.3,9.3,23.4,11.3
1996/1/1,22,9.3,24.3,11.5
1997/1/1,23.2,9.6,26,11.9
1998/1/1,32.1,11.8,36.5,14.7
1999/1/1,32,11.3,36.5,14.1
2000/1/1,30.7,10.7,35.2,13.4
2001/1/1,29.7,10.3,34.2,12.9
2002/1/1,30.5,10.2,35.2,12.8
2003/1/1,33.2,10.9,38,13.5
2004/1/1,31.1,10.4,35.6,12.8
2005/1/1,31.6,10.7,36.1,12.9
2006/1/1,30.3,10.9,34.8,13.2
2007/1/1,30.9,11.2,35.8,13.7
2008/1/1,30.5,11.3,35.1,13.5
2009/1/1,31.5,11.1,36.2,13.2
2010/1/1,29.8,10.9,34.2,13.2
2011/1/1,28.3,11.8,32.4,13.9
2012/1/1,26.4,10.2,30.1,12.3
2013/1/1,25.9,10.1,29.7,12.3
2014/1/1,24.2,9.7,27.6,11.7
2015/1/1,23,8.9,26.6,10.8
