"Date","実質季節調整系列(年率):国内総生産(支出側)","実質季節調整系列(年率):民間最終消費支出","実質季節調整系列(年率):民間最終消費支出:家計最終消費支出","実質季節調整系列(年率):民間最終消費支出:家計最終消費支出:除く持ち家の帰属家賃","実質季節調整系列(年率):民間住宅","実質季節調整系列(年率):民間企業設備","実質季節調整系列(年率):民間在庫変動","実質季節調整系列(年率):政府最終消費支出","実質季節調整系列(年率):公的固定資本形成","実質季節調整系列(年率):公的在庫変動","実質季節調整系列(年率):財貨・サービス:純輸出","実質季節調整系列(年率):財貨・サービス:輸出","実質季節調整系列(年率):財貨・サービス:輸入"
1994-06-01,-3.5,-0.7,-0.8,-1.2,20.4,-2.7,NA,5.5,8.5,NA,NA,2.2,6.6
1994-09-01,6.5,6,6.1,6.7,41.2,-0.6,NA,2.7,-13.8,NA,NA,7.6,12.5
1994-12-01,-2.2,-1.3,-1.4,-1.9,-17,8,NA,0.8,-6,NA,NA,1.9,3.8
1995-03-01,4.1,2.6,2.6,2.6,-13.7,11.2,NA,8.4,-16.7,NA,NA,5,15
1995-06-01,5,4.8,4.8,5.2,-11.7,17.2,NA,1.8,18,NA,NA,6.4,11.9
1995-09-01,4.9,2.7,2.7,2.8,-9.4,6.6,NA,4.7,34.9,NA,NA,3.6,24
1995-12-01,0.8,2.6,2.6,2.7,10.8,6.3,NA,0.7,1.2,NA,NA,-1,20.4
1996-03-01,4.7,1.7,1.8,1.7,17.5,-3,NA,3.2,22.2,NA,NA,6.5,5.6
1996-06-01,3.3,1.6,1.6,1.5,22.2,13.7,NA,0.3,-5,NA,NA,-0.2,12.6
1996-09-01,0,-0.2,-0.2,-0.6,17.4,6.5,NA,2,-16.9,NA,NA,11.8,-0.7
1996-12-01,5,4.2,4.3,4.6,9.5,0.3,NA,5.9,-9.4,NA,NA,18.3,4.3
1997-03-01,2,8.2,8.4,9.4,-14.9,4.2,NA,-0.4,-7,NA,NA,13.1,4.5
1997-06-01,-4.4,-12.7,-12.8,-15,-36.3,1.7,NA,0.7,0.6,NA,NA,18.2,-7.5
1997-09-01,2.2,3.1,3.3,3.5,-25.1,2.4,NA,-0.6,3.7,NA,NA,-6,-1.5
1997-12-01,1,0.4,0.2,0,-16.9,10.7,NA,2.3,-18.4,NA,NA,9.6,-8.1
1998-03-01,-5.5,-2.2,-2.6,-3.3,-1.6,-6.6,NA,-0.8,-21,NA,NA,-9.9,-2.9
1998-06-01,-1.7,-0.5,-1,-1.4,-8.6,-3.3,NA,3.4,-3.8,NA,NA,-7.5,-16.7
1998-09-01,0.8,2.9,2.6,2.8,-10.5,-3,NA,1.9,20,NA,NA,0.7,0.4
1998-12-01,4.4,1.8,1.6,1.6,-12.1,-11.9,NA,2.5,48.8,NA,NA,-6.9,-9.6
1999-03-01,-5.9,-0.1,-0.2,-0.6,-2,-9.7,NA,4.9,2,NA,NA,1,12.6
1999-06-01,1.9,1.6,1.4,1.2,32,2.4,NA,3.6,-6.5,NA,NA,3.8,7.9
1999-09-01,1.6,1.7,1.4,1.2,6.1,-1.8,NA,4.5,-12.3,NA,NA,17.6,10.9
1999-12-01,0.3,0.7,0.7,0.4,-17,6.4,NA,1.7,-1.5,NA,NA,9.8,12.6
2000-03-01,7.9,4.2,4.7,5.1,0.8,15.8,NA,5.5,-20.3,NA,NA,22.3,-0.8
