Date,実質国内総生産(支出側、10億円),実質国内総生産(支出側、前年比(%)),完全失業率(男女計、%),完全失業率(男女計、前年比、%ポイント)
1994/01/01,425434.1,,2.9,
1995/01/01,437100.2,2.7,3.2,0.3
1996/01/01,450650,3.1,3.4,0.2
1997/01/01,455501.3,1.1,3.4,0
1998/01/01,450359.8,-1.1,4.1,0.7
1999/01/01,449225,-0.3,4.7,0.6
2000/01/01,461711.4,2.8,4.7,0
2001/01/01,463587.1,0.4,5,0.3
2002/01/01,464134.6,0.1,5.4,0.4
2003/01/01,471227.7,1.5,5.3,-0.1
2004/01/01,481617,2.2,4.7,-0.6
2005/01/01,489625.1,1.7,4.4,-0.3
2006/01/01,496577.7,1.4,4.1,-0.3
2007/01/01,504792.5,1.7,3.9,-0.2
2008/01/01,499272.7,-1.1,4,0.1
2009/01/01,472226.5,-5.4,5.1,1.1
2010/01/01,492023.6,4.2,5.1,0
2011/01/01,491455.5,-0.1,4.6,-0.5
2012/01/01,498802.9,1.5,4.3,-0.3
2013/01/01,508781.4,2,4,-0.3
2014/01/01,510489.2,0.3,3.6,-0.4
2015/01/01,516714.3,1.2,3.4,-0.2
