map,japan,,,,,
title,住宅地_2015年_変動率,住宅地_2016年_変動率,商業地_2015年_変動率,商業地_2016年_変動率,工業地_2015年_変動率,工業地_2016年_変動率
unit,%,%,%,%,%,%
北海道,-1,-0.5,-0.9,1.2,-1.3,-1
青森県,-2.9,-1.9,-3.1,-2.3,-3.1,-2.1
岩手県,-0.4,-0.4,-2.2,-1.7,-4.2,-2.7
宮城県,2.3,1.9,2.3,3.2,3.1,2.6
秋田県,-4.2,-3.5,-5,-4.2,-7.1,-5.1
山形県,-1.4,-0.8,-2.2,-1.6,-1.7,-0.9
福島県,2.9,2.9,0.8,0.9,1.7,2
茨城県,-1.6,-1.2,-2.1,-1.6,-2.1,-1.6
栃木県,-1.7,-1.2,-2.1,-1.3,-2,-0.8
群馬県,-1.6,-1,-1.9,-1.2,-2.4,-1.5
埼玉県,0,0,0.5,0.7,0.5,1.2
千葉県,0.1,0.2,0.6,0.9,1,1.5
東京都,1.3,1.6,2.9,4.1,1.1,1.9
神奈川県,0.4,0.1,1.4,1.4,1,2.1
新潟県,-1.7,-1.6,-2.8,-2.5,-2,-1.6
富山県,-0.2,-0.2,-0.1,-0.1,-0.1,0
石川県,-1.3,-0.7,-1.2,1.6,-1.9,-1.2
福井県,-2,-1.7,-2.3,-1.7,-1.5,-1.1
山梨県,-2.3,-2,-2.3,-1.8,-2.4,-1.2
長野県,-1.8,-1.3,-2.5,-1.9,-2.1,-1.3
岐阜県,-1.2,-0.9,-1.2,-0.9,-1.1,-0.5
静岡県,-0.9,-0.9,-0.8,-0.7,-1.1,-1.2
愛知県,0.8,0.8,1.4,2.7,-0.2,0.2
三重県,-1.6,-1.7,-1.5,-1.5,-2.1,-2.2
滋賀県,-0.4,-0.5,0.2,0.2,0.5,0.7
京都府,-0.3,-0.1,1.2,3.2,-0.4,0.7
大阪府,-0.1,0,2,4.2,-0.3,0.2
兵庫県,-0.3,-0.3,-0.1,0.5,-0.5,0.2
奈良県,-0.3,-0.3,-0.3,0,-0.1,0.1
和歌山県,-2.6,-2,-2.1,-1.3,-5.4,-2.8
鳥取県,-2.8,-2,-3.6,-2.4,-4.4,-2.1
島根県,-2.1,-1.6,-3.3,-2.6,-2.3,-2.1
岡山県,-1,-0.9,-0.7,-0.3,-1.2,-0.9
広島県,-1.2,-0.3,-0.5,0.8,-1.4,-0.1
山口県,-1.9,-1.3,-2.8,-1.8,-3.2,-2.4
徳島県,-1.6,-1,-2.2,-1.2,-1.8,-0.8
香川県,-2.1,-1.4,-2.5,-1.5,-2.8,-2
愛媛県,-2.2,-1.9,-2.3,-2.1,-1.7,-1.4
高知県,-1.9,-1.3,-2.6,-1.8,-3.3,-2
福岡県,0.1,0.5,0,1.1,-0.3,0
佐賀県,-2.5,-1.8,-3.2,-2.4,-0.3,0
長崎県,-1.5,-1.1,-1.3,-0.6,-2.5,-2.1
熊本県,-0.4,0.1,-1.2,-0.2,-1.2,-0.4
大分県,-1.2,-0.7,-2,-0.8,-3.5,-2.4
宮崎県,-1.2,-0.9,-2.9,-2.1,-1.7,-1
鹿児島県,-2.8,-2.3,-3.3,-2.7,-3.5,-2.7
沖縄県,0.6,1.7,0.8,2,1.4,3.5
