種類,地域,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（㎡単価）,土地の形状,間口,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）
宅地(土地),商業地,東京都,千代田区,神田佐久間町,秋葉原,3,3100000,ほぼ長方形,6.5,区道,16,商業地域,80,600
宅地(土地),住宅地,東京都,中央区,新富,新富町(東京),3,2600000,不整形,10.5,区道,11,商業地域,80,600
宅地(土地),住宅地,東京都,中央区,築地,築地,6,2500000,長方形,11.3,区道,6,商業地域,80,500
宅地(土地),商業地,東京都,中央区,日本橋箱崎町,水天宮前,4,2200000,ほぼ台形,26,区道,8,商業地域,80,500
宅地(土地),商業地,東京都,港区,赤坂,赤坂(東京),3,3000000,不整形,12,区道,9.5,商業地域,80,600
宅地(土地),住宅地,東京都,港区,芝浦,田町(東京),8,1400000,ほぼ長方形,11.4,区道,7.2,商業地域,80,400
宅地(土地),住宅地,東京都,港区,白金台,白金台,4,920000,ほぼ台形,14,区道,3.3,第１種中高層住居専用地域,60,300
宅地(土地),住宅地,東京都,港区,南青山,表参道,11,1800000,ほぼ長方形,5,私道,3.2,第２種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,港区,六本木,六本木,4,1400000,ほぼ長方形,6.5,区道,2.3,第１種住居地域,60,300
宅地(土地),住宅地,東京都,新宿区,北新宿,大久保(東京),4,770000,不整形,11,区道,3.6,第１種住居地域,60,300
宅地(土地),商業地,東京都,新宿区,北新宿,大久保(東京),5,1400000,不整形,9,都道,30,商業地域,80,700
宅地(土地),商業地,東京都,新宿区,左門町,四谷三丁目,1,1000000,ほぼ長方形,7.2,区道,3.1,商業地域,80,400
宅地(土地),住宅地,東京都,新宿区,下落合,高田馬場,5,1100000,ほぼ長方形,13,区道,4.8,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,新宿区,新宿,新宿三丁目,9,1100000,ほぼ長方形,7,区道,3.3,第１種住居地域,60,300
宅地(土地),住宅地,東京都,新宿区,新宿,新宿三丁目,9,780000,ほぼ長方形,7.9,区道,3.3,第１種住居地域,60,300
宅地(土地),住宅地,東京都,新宿区,箪笥町,牛込神楽坂,3,1300000,長方形,9.1,区道,3.6,商業地域,80,500
宅地(土地),住宅地,東京都,新宿区,中井,中井,7,650000,ほぼ台形,5,区道,5.2,第１種低層住居専用地域,50,100
宅地(土地),住宅地,東京都,新宿区,中落合,中井,4,140000,ほぼ正方形,14.7,私道,4,第１種中高層住居専用地域,60,200
宅地(土地),住宅地,東京都,新宿区,西落合,落合南長崎,10,600000,ほぼ長方形,6.1,区道,6.1,準工業地域,60,200
宅地(土地),住宅地,東京都,新宿区,西五軒町,江戸川橋,7,1100000,長方形,6.8,区道,9.4,準工業地域,60,300
宅地(土地),商業地,東京都,新宿区,西新宿,西新宿,4,550000,ほぼ長方形,17,私道,12,商業地域,80,600
宅地(土地),住宅地,東京都,新宿区,若葉,四谷三丁目,4,1100000,ほぼ長方形,8.2,区道,8.3,第１種住居地域,60,300
宅地(土地),商業地,東京都,文京区,大塚,新大塚,5,360000,ほぼ長方形,3.1,区道,10.8,準工業地域,60,300
宅地(土地),住宅地,東京都,文京区,小日向,茗荷谷,9,1000000,ほぼ長方形,6,区道,3.9,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,文京区,小日向,茗荷谷,9,900000,ほぼ長方形,10,区道,4.7,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,文京区,千駄木,千駄木,4,740000,ほぼ整形,8,区道,2.8,第１種中高層住居専用地域,60,300
宅地(土地),住宅地,東京都,文京区,西片,春日(東京),5,1400000,ほぼ整形,4.5,区道,6.6,第１種低層住居専用地域,60,150
宅地(土地),住宅地,東京都,文京区,白山,白山(東京),4,230000,ほぼ長方形,8,区道,3.5,第１種住居地域,60,300
宅地(土地),住宅地,東京都,文京区,白山,白山(東京),7,740000,ほぼ長方形,12.4,区道,4.5,第１種中高層住居専用地域,60,200
宅地(土地),商業地,東京都,文京区,本駒込,千石,5,1100000,ほぼ長方形,6.5,国道,16.8,近隣商業地域,80,400
