Date,初任給(千円):大学院修士課程修了:企業規模計:男,初任給:対前年増減率(%):大学院修士課程修了:企業規模計:男,初任給(千円):大学卒:企業規模計:男,初任給:対前年増減率(%):大学卒:企業規模計:男,初任給(千円):高専･短大卒:企業規模計:男,初任給:対前年増減率(%):高専･短大卒:企業規模計:男,初任給(千円):高校卒:企業規模計:男,初任給:対前年増減率(%):高校卒:企業規模計:男,初任給(千円):大学院修士課程修了:企業規模計:女,初任給:対前年増減率(%):大学院修士課程修了:企業規模計:女,初任給(千円):大学卒:企業規模計:女,初任給:対前年増減率(%):大学卒:企業規模計:女,初任給(千円):高専･短大卒:企業規模計:女,初任給:対前年増減率(%):高専･短大卒:企業規模計:女,初任給(千円):高校卒:企業規模計:女,初任給:対前年増減率(%):高校卒:企業規模計:女
1976/4/1,,,94.3,,82.2,,76.9,,,,87.6,,81,,73.4,
1977/4/1,,,101,7.1,87.9,6.9,81.9,6.5,,,95.3,8.8,86.6,6.9,78.4,6.8
1978/4/1,,,105.5,4.5,93,5.8,85.9,4.9,,,99.9,4.8,90.7,4.7,82,4.6
1979/4/1,,,109.5,3.8,95.8,3,88.6,3.1,,,103.7,3.8,93,2.5,84.7,3.3
1980/4/1,,,114.5,4.6,100.7,5.1,92.8,4.7,,,108.7,4.8,97.4,4.7,88.3,4.3
1981/4/1,,,120.8,5.5,106.5,5.8,98.4,6,,,115,5.8,102.6,5.3,93.1,5.4
1982/4/1,,,127.2,5.3,111.2,4.4,103.4,5.1,,,119.1,3.6,106.9,4.2,97.5,4.7
1983/4/1,,,132.2,3.9,116.8,5,106.2,2.7,,,124.1,4.2,109.7,2.6,100,2.6
1984/4/1,,,135.8,2.7,120,2.7,108.8,2.4,,,128.7,3.7,113,3,103,3
1985/4/1,,,140,3.1,123.6,3,112.2,3.1,,,133.5,3.7,117,3.5,106.2,3.1
1986/4/1,,,144.5,3.2,126.5,2.3,115.4,2.9,,,138.4,3.7,120.5,3,108.5,2.2
1987/4/1,,,148.2,2.6,128.3,1.4,118.1,2.3,,,142.7,3.1,122.7,1.8,110.1,1.5
1988/4/1,,,153.1,3.3,132.3,3.1,120.3,1.9,,,149,4.4,125.8,2.5,113.8,3.4
1989/4/1,,,160.9,5.1,138.4,4.6,125.6,4.4,,,155.6,4.4,131.7,4.7,118.3,4
1990/4/1,,,169.9,5.6,145.4,5.1,133,5.9,,,162.9,4.7,138.1,4.9,126,6.5
1991/4/1,,,179.4,5.6,155.1,6.7,140.8,5.9,,,172.3,5.8,146.5,6.1,133.2,5.7
1992/4/1,,,186.9,4.2,160.9,3.7,146.6,4.1,,,180.1,4.5,152.4,4,139.5,4.7
1993/4/1,,,190.3,1.8,165.1,2.6,150.6,2.7,,,181.9,1,155.6,2.1,142.4,2.1
1994/4/1,,,192.4,1.1,166.6,0.9,153.8,2.1,,,184.5,1.4,157.7,1.3,145.5,2.2
