TL,調査産業計,T,5人以上,T,男女計,N,一般労働者
C,鉱業，採石業，砂利採取業,0,30人以上,M,男,P,パートタイム労働者
D,建設業,1,1000人以上,F,女,T,両者計
E,製造業,3,500～999人,,,,
F,電気・ガス・熱供給・水道業,4,500人以上,,,,
G,情報通信業特掲産業,5,100～499人,,,,
H,運輸業，郵便業,7,30～99人,,,,
I,卸売業，小売業,9,5～29人,,,,
J,金融業，保険業,,,,,,
K,不動産業，物品賃貸業,,,,,,
L,学術研究，専門・技術サービス業,,,,,,
M,宿泊業，飲食サービス業,,,,,,
N,生活関連サービス業，娯楽業,,,,,,
O,教育，学習支援業,,,,,,
P,医療，福祉,,,,,,
Q,複合サービス事業,,,,,,
R,サービス業(他に分類されないもの),,,,,,
D06,総合工事業,,,,,,
D07,職別工事業(設備工事業を除く),,,,,,
D08,設備工事業,,,,,,
E-1,"消費関連製造業(E09,10,11,13,15,20,32)",,,,,,
E-2,"素材関連製造業(E12,14,16,17,18,19,21,22,23,24)",,,,,,
E-3,"機械関連製造業(E25,26,27,28,29,30,31)",,,,,,
E09,食料品製造業、飲料・たばこ・飼料製造業,,,,,,
E10,食料品製造業、飲料・たばこ・飼料製造業,,,,,,
E11,繊維工業,,,,,,
E12,木材・木製品製造業(家具を除く),,,,,,
E13,家具・装備品製造業,,,,,,
E14,パルプ・紙・紙加工品製造業,,,,,,
E15,印刷・同関連業,,,,,,
E16,化学工業、石油製品・石炭製品製造業,,,,,,
E17,化学工業、石油製品・石炭製品製造業,,,,,,
E18,プラスチック製品製造業(別掲を除く),,,,,,
E19,ゴム製品製造業,,,,,,
E21,窯業・土石製品製造業,,,,,,
E22,鉄鋼業,,,,,,
E23,非鉄金属製造業,,,,,,
E24,金属製品製造業,,,,,,
E25,はん用機械器具製造業,,,,,,
E26,生産用機械器具製造業,,,,,,
E27,業務用機械器具製造業事業所規模分類,,,,,,
E28,電子部品・デバイス・電子回路製造業,,,,,,
E29,電気機械器具製造業,,,,,,
E30,情報通信機械器具製造業常用雇用労働者数,,,,,,
E31,輸送用機械器具製造業,,,,,,
E32,その他の製造業、なめし革・同製品・毛皮製造業,,,,,,
E20,その他の製造業、なめし革・同製品・毛皮製造業,,,,,,
F33,電気業,,,,,,
G37,通信業,,,,,,
G39,情報サービス業,,,,,,
G41,映像・音声・文字情報制作業,,,,,,
H42,鉄道業,,,,,,
H43,道路旅客運送業,,,,,,
H44,道路貨物運送業,,,,,,
I-1,卸売業(I50～I55),,,,,,
I51,繊維・衣服等卸売業性、就業形態別分類,,,,,,
I52,飲食料品卸売業,,,,,,
I54,機械器具卸売業,,,,,,
I-2,小売業(I56～I61),,,,,,
I56,各種商品小売業,,,,,,
I57,織物・衣服・身の回り品小売業,,,,,,
I58,飲食料品小売業,,,,,,
I59,機械器具小売業,,,,,,
J62,銀行業,,,,,,
J63,協同組織金融業,,,,,,
J64,貸金業，クレジットカード業等非預金信用機関,,,,,,
J65,金融商品取引業，商品先物取引業,,,,,,
J67,保険業(保険媒介代理業，保険サービス業を含む),,,,,,
K68,不動産取引業、不動産賃貸業・管理業,,,,,,
K69,不動産取引業、不動産賃貸業・管理業,,,,,,
K70,物品賃貸業,,,,,,
L71,学術・開発研究機関,,,,,,
L72,専門サービス業(他に分類されないもの),,,,,,
L73,広告業,,,,,,
L74,技術サービス業(他に分類されないもの),,,,,,
M75,宿泊業,,,,,,
M76,飲食店,,,,,,
M77,持ち帰り・配達飲食サービス業,,,,,,
N80,娯楽業,,,,,,
O81,学校教育,,,,,,
O82,その他の教育，学習支援業,,,,,,
P83,医療業,,,,,,
P85,社会保険・社会福祉・介護事業,,,,,,
Q87,協同組合(他に分類されないもの),,,,,,
R88,廃棄物処理業,,,,,,
R89,自動車整備業、機械等修理業(別掲を除く),,,,,,
R90,自動車整備業、機械等修理業(別掲を除く),,,,,,
R91,職業紹介・労働者派遣業,,,,,,
R92,その他の事業サービス業,,,,,,
E091,畜産食料品製造業,,,,,,
E092,水産食料品製造業,,,,,,
E097,パン・菓子製造業,,,,,,
E151,印刷業,,,,,,
E165,医薬品製造業,,,,,,
E183,工業用プラスチック製品製造業,,,,,,
E244,建設用・建築用金属製品製造業(製缶板金業を含む),,,,,,
E266,金属加工機械製造業,,,,,,
E281,電子デバイス製造業,,,,,,
E291,発電用・送電用・配電用電気機械器具製造業,,,,,,
E292,産業用電気機械器具製造業,,,,,,
E311,自動車・同附属品製造業,,,,,,
G391,ソフトウェア業,,,,,,
I522,食料・飲料卸売業,,,,,,
I543,電気機械器具卸売業,,,,,,
I581,各種食料品小売業,,,,,,
I591,自動車小売業,,,,,,
K694,不動産管理業,,,,,,
L711,自然科学研究所,,,,,,
L742,土木建築サービス業,,,,,,
L743,機械設計業,,,,,,
N804,スポーツ施設提供業,,,,,,
N806,遊戯場,,,,,,
P831,病院,,,,,,
P832,一般診療所,,,,,,
P853,児童福祉事業,,,,,,
P854,老人福祉・介護事業,,,,,,
P855,障害者福祉事業,,,,,,
R881,一般廃棄物処理業,,,,,,
R912,労働者派遣業,,,,,,
R922,建物サービス業,,,,,,
R923,警備業,,,,,,
