都道府県,男:17歳:身長平均値(cm),男:17歳:体重平均値(kg),女:17歳:身長平均値(cm),女:17歳:体重平均値(kg)
全国,170.7,62.5,157.8,52.9
北海道,170.9,64.4,157.8,54
青森,171,63.9,157.5,53.8
岩手,171,65.5,157,54
宮城,170.9,63,158,53.1
秋田,171.3,65.1,158.2,54.2
山形,171.4,64,158.8,54.1
福島,170.6,63.2,157.5,53.1
茨城,170.9,62.2,157.8,53.3
栃木,170.4,62.9,158,54.3
群馬,170,61.9,158.2,53.6
埼玉,170.8,62.8,158,53
千葉,170.5,62.2,158.5,52.9
東京,171.3,62.6,158.3,52.5
神奈川,171,61.7,158.2,52.9
新潟,171.4,62.4,158.2,53.7
富山,171.1,62.7,157.8,52.8
石川,171.8,64.4,157.6,52.7
福井,171.7,64.3,158.1,52.5
山梨,170.5,62.7,157.8,52.6
長野,170.4,61.5,157.3,52.6
岐阜,170.6,62.3,157.5,52.1
静岡,170,61.6,157.4,52.9
愛知,170.6,61.9,157.7,52.6
三重,170.7,62.5,157.6,52.3
滋賀,171.8,63.1,158.3,53.3
京都,171.4,62.6,158.3,52.8
大阪,170.7,62.4,158,53.1
兵庫,170.4,61.5,158.2,52.4
奈良,170.8,62.2,158,53
和歌山,171.1,63.4,157.4,52.7
鳥取,171.1,62.3,157.8,52.3
島根,169.8,62.4,157.5,52.4
岡山,170.1,62.3,157,52.6
広島,170,62,157.2,52.3
山口,170.1,62.1,157.4,51.5
徳島,170.1,63.7,156.7,52.8
香川,170.1,62,157.6,53.2
愛媛,170,62.6,156.8,52.3
高知,169.6,62.4,157.2,52.1
福岡,169.8,61.9,157.2,52.6
佐賀,170.7,63.1,157,53
長崎,170.5,63.3,157.9,52.8
熊本,170.1,63.4,157.2,53.4
大分,170.4,63.6,156.9,52.7
宮崎,170,62.8,157.2,53.2
鹿児島,170.3,62.9,156.8,52.7
沖縄,169,62.4,155.9,51.9
