死因簡単分類コード,死因,死亡総数に占める割合(%):2016年
1000, 感染症及び寄生虫症,1.9
1100, 　腸管感染症,0.2
1200, 　結　　　核,0.1
1201, 　　呼吸器結核,0.1
1202, 　　その他の結核,0
1300, 　敗　血　症　　　　　,0.9
1400, 　ウイルス肝炎,0.3
1401, 　　Ｂ型ウイルス肝炎,0
1402, 　　Ｃ型ウイルス肝炎,0.2
1403, 　　その他のウイルス肝炎,0
1500, 　ヒト免疫不全ウイルス［ＨＩＶ］病,0
1600, 　その他の感染症及び寄生虫症,0.4
2000, 新　生　物,29.4
2100, 　悪性新生物,28.5
2101,　   口唇，口腔及び咽頭の悪性新生物,0.6
2102,　　 食道の悪性新生物,0.9
2103, 　　胃の悪性新生物,3.5
2104, 　　結腸の悪性新生物,2.6
2105, 　　直腸Ｓ状結腸移行部及び直腸の悪性新生物,1.2
2106, 　　肝及び肝内胆管の悪性新生物,2.2
2107, 　　胆のう及びその他の胆道の悪性新生物　,1.4
2108, 　　膵の悪性新生物,2.6
2109, 　　喉頭の悪性新生物,0.1
2110, 　　気管，気管支及び肺の悪性新生物,5.6
2111, 　　皮膚の悪性新生物,0.1
2112,　　 乳房の悪性新生物,1.1
2113, 　　子宮の悪性新生物　　    ,0.5
2114, 　　卵巣の悪性新生物        ,0.4
2115,　　 前立腺の悪性新生物      ,0.9
2116, 　　膀胱の悪性新生物,0.6
2117, 　　中枢神経系の悪性新生物,0.2
2118, 　　悪性リンパ腫,0.9
2119, 　　白　血　病,0.7
2120, 　　その他のリンパ組織，造血組織及び関連組織の悪性新生物　,0.3
2121, 　　その他の悪性新生物,2.2
2200, 　その他の新生物,0.9
2201, 　　中枢神経系のその他の新生物,0.2
2202, 　　中枢神経系を除くその他の新生物,0.7
3000, 血液及び造血器の疾患並びに免疫機構の障害　,0.3
3100, 　貧　　　血,0.2
3200, 　その他の血液及び造血器の疾患並びに免疫機構の障害　,0.2
4000, 内分泌，栄養及び代謝疾患,1.6
4100, 　糖　尿　病,1
4200, 　その他の内分泌，栄養及び代謝疾患,0.6
5000, 精神及び行動の障害,1.1
5100, 　血管性及び詳細不明の認知症,0.9
5200, 　その他の精神及び行動の障害,0.2
6000, 神経系の疾患,2.5
6100,   髄　膜　炎,0
6200, 　脊髄性筋萎縮症及び関連症候群,0.2
6300, 　パーキンソン病,0.6
6400, 　アルツハイマー病,0.9
6500, 　その他の神経系の疾患,0.8
7000, 眼及び付属器の疾患,0
8000, 耳及び乳様突起の疾患,0
9000, 循環器系の疾患,26
9100, 　高血圧性疾患,0.5
9101, 　　高血圧性心疾患及び心腎疾患,0.2
9102, 　　その他の高血圧性疾患,0.3
9200, 　心疾患（高血圧性を除く）,15.1
9201, 　　慢性リウマチ性心疾患,0.2
9202, 　　急性心筋梗塞,2.7
9203, 　　その他の虚血性心疾患,2.6
9204, 　　慢性非リウマチ性心内膜疾患,0.8
9205,   　心　筋　症,0.3
9206, 　　不整脈及び伝導障害,2.4
9207, 　　心　不　全,5.6
9208, 　　その他の心疾患,0.4
9300, 　脳血管疾患,8.4
9301, 　　くも膜下出血,0.9
9302, 　　脳内出血,2.4
9303, 　　脳　梗　塞,4.8
9304, 　　その他の脳血管疾患,0.2
9400, 　大動脈瘤及び解離,1.4
9500, 　その他の循環器系疾患,0.6
10000, 呼吸器系の疾患,15.9
10100, 　インフルエンザ,0.1
10200, 　肺　　　炎,9.1
10300, 　急性気管支炎,0
