死因簡単分類コード,死因,平成27年死亡数:総数(人),平成27年死亡数:男(人),平成27年死亡数:女(人),平成27年死亡率:総数,平成27年死亡率:男,平成27年死亡率:女
, 総　　　　　　　数,1290444,666707,623737,1029.7,1092.6,970.1
1000, 感染症及び寄生虫症,25240,12307,12933,20.1,20.2,20.1
1100,　 腸管感染症,2332,1036,1296,1.9,1.7,2
1200,　 結核,1956,1169,787,1.6,1.9,1.2
1201,　　 呼吸器結核,1723,1064,659,1.4,1.7,1
1202,     その他の結核,233,105,128,0.2,0.2,0.2
1300,   敗血症,11357,5485,5872,9.1,9,9.1
1400,   ウイルス肝炎,4514,2024,2490,3.6,3.3,3.9
1401,     Ｂ型ウイルス肝炎,407,234,173,0.3,0.4,0.3
1402,     Ｃ型ウイルス肝炎,3881,1673,2208,3.1,2.7,3.4
1403,     その他のウイルス肝炎,226,117,109,0.2,0.2,0.2
1500,   ヒト免疫不全ウイルス［ＨＩＶ］病,56,50,6,0,0.1,0
1600,   その他の感染症及び寄生虫症,5025,2543,2482,4,4.2,3.9
2000, 新生物,381664,225453,156211,304.6,369.5,243
2100,   悪性新生物,370346,219508,150838,295.5,359.7,234.6
2101,     口唇，口腔及び咽頭の悪性新生物,7380,5258,2122,5.9,8.6,3.3
2102,     食道の悪性新生物,11739,9774,1965,9.4,16,3.1
2103,     胃の悪性新生物,46679,30809,15870,37.2,50.5,24.7
2104,     結腸の悪性新生物,34338,17063,17275,27.4,28,26.9
2105,     直腸Ｓ状結腸移行部及び直腸の悪性新生物,15361,9755,5606,12.3,16,8.7
2106,     肝及び肝内胆管の悪性新生物,28889,19008,9881,23.1,31.1,15.4
2107,     胆のう及びその他の胆道の悪性新生物,18152,9066,9086,14.5,14.9,14.1
2108, 　　膵の悪性新生物,31866,16186,15680,25.4,26.5,24.4
2109, 　　喉頭の悪性新生物,971,899,72,0.8,1.5,0.1
2110, 　　気管，気管支及び肺の悪性新生物,74378,53208,21170,59.4,87.2,32.9
2111, 　　皮膚の悪性新生物,1505,745,760,1.2,1.2,1.2
2112, 　　乳房の悪性新生物,13705,121,13584,10.9,0.2,21.1
2113, 　　子宮の悪性新生物,6429, ・,6429,10, ・,10
2114, 　　卵巣の悪性新生物,4676, ・,4676,7.3, ・,7.3
2115, 　　前立腺の悪性新生物,11326,11326, ・,18.6,18.6, ・
2116, 　　膀胱の悪性新生物,8130,5582,2548,6.5,9.1,4
2117, 　　中枢神経系の悪性新生物,2445,1406,1039,2,2.3,1.6
2118, 　　悪性リンパ腫,11829,6656,5173,9.4,10.9,8
2119, 　　白血病,8631,5104,3527,6.9,8.4,5.5
2120, 　　その他のリンパ組織，造血組織及び関連組織の悪性新生物,4174,2044,2130,3.3,3.3,3.3
2121, 　　その他の悪性新生物,27743,15498,12245,22.1,25.4,19
2200,   その他の新生物,11318,5945,5373,9,9.7,8.4
2201, 　　中枢神経系のその他の新生物,2491,1200,1291,2,2,2
2202, 　　中枢神経系を除くその他の新生物,8827,4745,4082,7,7.8,6.3
3000, 血液及び造血器の疾患並びに免疫機構の障害,4342,1923,2419,3.5,3.2,3.8
3100,   貧血,1994,778,1216,1.6,1.3,1.9
3200,   その他の血液及び造血器の疾患並びに免疫機構の障害,2348,1145,1203,1.9,1.9,1.9
4000, 内分泌，栄養及び代謝疾患,20943,10497,10446,16.7,17.2,16.2
4100,   糖尿病,13327,7125,6202,10.6,11.7,9.6
4200,   その他の内分泌，栄養及び代謝疾患,7616,3372,4244,6.1,5.5,6.6
5000, 精神及び行動の障害,13190,4088,9102,10.5,6.7,14.2
5100,   血管性及び詳細不明の認知症,11118,3150,7968,8.9,5.2,12.4
5200,   その他の精神及び行動の障害,2072,938,1134,1.7,1.5,1.8
6000, 神経系の疾患,30911,13843,17068,24.7,22.7,26.5
6100,   髄膜炎,293,153,140,0.2,0.3,0.2
6200,   脊髄性筋萎縮症及び関連症候群,2266,1331,935,1.8,2.2,1.5
6300,   パーキンソン病,7159,3332,3827,5.7,5.5,6
6400,   アルツハイマー病,10544,3315,7229,8.4,5.4,11.2
6500,   その他の神経系の疾患,10649,5712,4937,8.5,9.4,7.7
7000, 眼及び付属器の疾患,4,3,1,0,0,0
8000, 耳及び乳様突起の疾患,14,7,7,0,0,0
9000, 循環器系の疾患,339134,160357,178777,270.6,262.8,278.1
9100,   高血圧性疾患,6726,2605,4121,5.4,4.3,6.4
9101, 　　高血圧性心疾患及び心腎疾患,3213,1176,2037,2.6,1.9,3.2
9102, 　　その他の高血圧性疾患,3513,1429,2084,2.8,2.3,3.2
9200,   心疾患（高血圧性を除く）,196113,92142,103971,156.5,151,161.7
9201, 　　慢性リウマチ性心疾患,2313,740,1573,1.8,1.2,2.4
9202, 　　急性心筋梗塞,37222,21137,16085,29.7,34.6,25
9203,     その他の虚血性心疾患,34451,19939,14512,27.5,32.7,22.6
9204, 　　慢性非リウマチ性心内膜疾患,10656,3528,7128,8.5,5.8,11.1
9205, 　　心筋症,3831,2224,1607,3.1,3.6,2.5
9206, 　　不整脈及び伝導障害,30300,14689,15611,24.2,24.1,24.3
9207, 　　心不全,71860,26961,44899,57.3,44.2,69.8
9208, 　　その他の心疾患,5480,2924,2556,4.4,4.8,4
9300,   脳血管疾患,111973,53576,58397,89.4,87.8,90.8
9301, 　　くも膜下出血,12476,4643,7833,10,7.6,12.2
9302, 　　脳内出血,32113,17541,14572,25.6,28.7,22.7
9303, 　　脳梗塞,64523,30070,34453,51.5,49.3,53.6
9304, 　　その他の脳血管疾患,2861,1322,1539,2.3,2.2,2.4
9400,   大動脈瘤及び解離,16887,8616,8271,13.5,14.1,12.9
9500,   その他の循環器系の疾患,7435,3418,4017,5.9,5.6,6.2
10000, 呼吸器系の疾患,208400,118495,89905,166.3,194.2,139.8
10100,   インフルエンザ,2262,1068,1194,1.8,1.8,1.9
10200,   肺炎,120953,65609,55344,96.5,107.5,86.1
10300,   急性気管支炎,445,181,264,0.4,0.3,0.4
10400,   慢性閉塞性肺疾患,15756,12642,3114,12.6,20.7,4.8
10500,   喘息,1511,573,938,1.2,0.9,1.5
10600,   その他の呼吸器系の疾患,67473,38422,29051,53.8,63,45.2
11000, 消化器系の疾患,48275,25336,22939,38.5,41.5,35.7
11100,   胃潰瘍及び十二指腸潰瘍,2666,1511,1155,2.1,2.5,1.8
11200,   ヘルニア及び腸閉塞,6919,3290,3629,5.5,5.4,5.6
11300,   肝疾患,15659,10016,5643,12.5,16.4,8.8
