道県,都市名(人口万人),住宅地:平成28年変動率(%),住宅地:平成29年変動率(%),住宅地:平成29年地点数,商業地:平成28年変動率(%),商業地:平成29年変動率(%),商業地:平成29年地点数
北海道　,札幌市(194),2,2,307,6,6.1,146
北海道　,中央区(23),8.1,5.7,26,13.8,13,32
北海道　,北区(28),1,1.1,46,5.5,6.2,19
北海道　,東区(26),1.7,2.5,37,6.8,4.9,17
北海道　,白石区(21),1.1,2,27,2.5,3.8,16
北海道　,豊平区(22),4.5,3.8,32,5.2,6.8,12
北海道　,南区(14),-0.1,-0.3,37,-0.2,0.1,10
北海道　,西区(21),1.9,3,28,4.2,5,17
北海道　,厚別区(13),0.2,0.9,27,0.9,2.9,9
北海道　,手稲区(14),1,0.6,28,1,1.3,9
北海道　,清田区(12),2.2,1.8,19,0,0.7,5
北海道　,函館市(27),-1.1,-0.6,31,-0.6,-0.3,22
北海道　,小樽市(12),-1.7,-1.2,32,-0.6,0.6,12
北海道　,旭川市(35),-0.7,-0.4,63,0,-0.1,23
北海道　,釧路市(18),-0.3,-0.1,29,-0.6,-0.2,14
北海道　,帯広市(17),0,-0.1,30,-0.5,-0.7,10
北海道　,北見市(12),-1.1,-0.4,14,-3.4,-1.9,5
北海道　,苫小牧市(17),-2,-1.9,51,-2.2,-1.9,16
北海道　,江別市(12),-1.3,-0.9,28,-1.7,-1.1,6
青森県　,青森市(29),-1.9,-1.2,46,-2.3,-1.3,18
青森県　,弘前市(18),-1.7,-0.6,29,-1.6,-0.4,9
青森県　,八戸市(24),-1.5,-0.8,34,-1.6,-1,12
岩手県　,盛岡市(29),0.6,1,44,-0.1,-0.1,18
岩手県　,一関市(12),-2.6,-2.2,6,-3.8,-3.4,5
岩手県　,奥州市(12),-1.4,-1.2,9,-3.4,-2.7,4
宮城県　,仙台市(106),3.2,4,215,6.2,9,74
宮城県　,青葉区(29),3.9,4.9,56,7.3,10.8,46
宮城県　,宮城野区(19),1.4,2.3,37,4.5,7.1,11
宮城県　,若林区(13),5.5,6.2,29,6.3,7.1,6
宮城県　,太白区(23),2.8,3.2,52,4.6,4.3,6
宮城県　,泉区(22),2.6,3.8,41,0.7,4.6,5
宮城県　,石巻市(15),0.7,0.3,24,1.2,1.1,12
宮城県　,大崎市(13),-1.6,-1.1,12,-3,-2.6,6
秋田県　,秋田市(32),-3,-1.9,60,-3.7,-2.4,23
山形県　,山形市(25),1.4,1.7,23,-0.4,-0.2,17
山形県　,鶴岡市(13),-1.2,-0.9,11,-1.8,-1.5,6
山形県　,酒田市(11),-0.9,-0.4,17,-2.1,-1.8,2
福島県　,福島市(29),3.4,3.2,38,1.2,1.5,21
福島県　,会津若松市(12),1.2,1,24,0.1,0.1,8
